lr-AdamW,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
0.0005,0,,,,,,,,,,
,8,1.7403968572616577,0.1621621549129486,0.05892254784703255,0,,,,,,
,8,,,,0,1.5805597305297852,0.2569444477558136,0.23671144247055054,,,
0.0005,9,,,,,,,,,,
,17,2.1103086471557617,0.13513512909412384,0.06315315514802933,1,,,,,,
,17,,,,1,1.4395679235458374,0.3680555522441864,0.3330077528953552,,,
0.0005,18,,,,,,,,,,
,26,1.9114468097686768,0.29729729890823364,0.2731403112411499,2,,,,,,
,26,,,,2,1.39652681350708,0.3819444477558136,0.36746034026145935,,,
0.0005,27,,,,,,,,,,
,35,2.073802947998047,0.29729729890823364,0.2410605102777481,3,,,,,,
,35,,,,3,1.3617234230041504,0.4375,0.3995007574558258,,,
0.0005,36,,,,,,,,,,
,44,1.8539564609527588,0.3513513505458832,0.2667355537414551,4,,,,,,
,44,,,,4,1.313627004623413,0.5138888955116272,0.44563817977905273,,,
0.0005,45,,,,,,,,,,
,53,1.9677813053131104,0.3243243098258972,0.2913813591003418,5,,,,,,
,53,,,,5,1.2766053676605225,0.4861111044883728,0.4103049039840698,,,
0.0005,54,,,,,,,,,,
,62,2.180588483810425,0.3513513505458832,0.264474481344223,6,,,,,,
,62,,,,6,1.265271782875061,0.4722222089767456,0.420467346906662,,,
0.0005,63,,,,,,,,,,
,71,1.5879520177841187,0.3243243098258972,0.2329484075307846,7,,,,,,
,71,,,,7,1.2494874000549316,0.5555555820465088,0.45171797275543213,,,
0.0005,72,,,,,,,,,,
,80,1.350447177886963,0.45945945382118225,0.35272836685180664,8,,,,,,
,80,,,,8,1.2682390213012695,0.5,0.39753347635269165,,,
0.0005,81,,,,,,,,,,
,89,1.2355581521987915,0.5405405163764954,0.4277992248535156,9,,,,,,
,89,,,,9,1.219749093055725,0.5,0.41011372208595276,,,
0.0005,90,,,,,,,,,,
,98,1.2883925437927246,0.5405405163764954,0.3748648762702942,10,,,,,,
,98,,,,10,1.1838643550872803,0.5625,0.4804779291152954,,,
0.0005,99,,,,,,,,,,
,107,1.2440478801727295,0.5405405163764954,0.4253828823566437,11,,,,,,
,107,,,,11,1.159440517425537,0.6111111044883728,0.529918909072876,,,
0.0005,108,,,,,,,,,,
,116,1.058455228805542,0.7297297120094299,0.49877673387527466,12,,,,,,
,116,,,,12,1.1336479187011719,0.5972222089767456,0.5199686884880066,,,
0.0005,117,,,,,,,,,,
,125,1.2355806827545166,0.5945945978164673,0.4167417585849762,13,,,,,,
,125,,,,13,1.1192142963409424,0.6319444179534912,0.5761412978172302,,,
0.0005,126,,,,,,,,,,
,134,1.1353415250778198,0.6486486196517944,0.41359075903892517,14,,,,,,
,134,,,,14,1.1210013628005981,0.6319444179534912,0.5493762493133545,,,
0.0005,135,,,,,,,,,,
,143,1.0859984159469604,0.6486486196517944,0.5104268789291382,15,,,,,,
,143,,,,15,1.1061015129089355,0.6319444179534912,0.5663626194000244,,,
0.0005,144,,,,,,,,,,
,152,1.2164024114608765,0.5945945978164673,0.49229028820991516,16,,,,,,
,152,,,,16,1.1183634996414185,0.5694444179534912,0.5383117198944092,,,
0.0005,153,,,,,,,,,,
,161,1.3089497089385986,0.45945945382118225,0.3607850968837738,17,,,,,,
,161,,,,17,1.077632188796997,0.6319444179534912,0.5647042393684387,,,
0.0005,162,,,,,,,,,,
,170,1.2562466859817505,0.5405405163764954,0.33617255091667175,18,,,,,,
,170,,,,18,1.0475817918777466,0.6388888955116272,0.5522071719169617,,,
0.0005,171,,,,,,,,,,
,179,1.1117548942565918,0.7027027010917664,0.5117067694664001,19,,,,,,
,179,,,,19,1.0462794303894043,0.6597222089767456,0.5716464519500732,,,
0.0005,180,,,,,,,,,,
,188,1.1959228515625,0.6216216087341309,0.495015025138855,20,,,,,,
,188,,,,20,1.0066428184509277,0.6597222089767456,0.5827891230583191,,,
0.0005,189,,,,,,,,,,
,197,1.2969024181365967,0.5675675868988037,0.4520828127861023,21,,,,,,
,197,,,,21,1.0819003582000732,0.6527777910232544,0.5862770080566406,,,
0.0005,198,,,,,,,,,,
,206,1.2644693851470947,0.5675675868988037,0.4621673822402954,22,,,,,,
,206,,,,22,0.9584147930145264,0.7430555820465088,0.6778032779693604,,,
0.0005,207,,,,,,,,,,
,215,1.2127586603164673,0.5405405163764954,0.4463513493537903,23,,,,,,
,215,,,,23,1.0309638977050781,0.6527777910232544,0.5913733243942261,,,
0.0005,216,,,,,,,,,,
,224,1.4443424940109253,0.4864864945411682,0.4229794442653656,24,,,,,,
,224,,,,24,0.9652608036994934,0.6805555820465088,0.605002760887146,,,
0.0005,225,,,,,,,,,,
,233,1.0368584394454956,0.7027027010917664,0.5867868065834045,25,,,,,,
,233,,,,25,0.976586103439331,0.6458333134651184,0.5646385550498962,,,
0.0005,234,,,,,,,,,,
,242,1.4243769645690918,0.6216216087341309,0.4832899868488312,26,,,,,,
